Source airport,Origin,Destination airport,Destination,lat_st,lng_st,lat_end,lng_end,distance
LUX,LUXEMBOURG,TXL,BERLIN,49.6117,6.13,52.5218,13.4015,601.9650331294
TXL,BERLIN,ARN,STOCKHOLM,52.5218,13.4015,59.3508,18.0973,813.2331238329539
TXL,BERLIN,ATH,ATHENS,52.5218,13.4015,37.9833,23.7333,1803.4259335141526
TXL,BERLIN,BRU,BRUSSELS,52.5218,13.4015,50.8333,4.3333,652.3268696868982
TXL,BERLIN,CDG,PARIS,52.5218,13.4015,48.8667,2.3333,877.9082631623088
TXL,BERLIN,CPH,COPENHAGEN,52.5218,13.4015,55.6786,12.5635,355.2399396172596
TXL,BERLIN,LUX,LUXEMBOURG,52.5218,13.4015,49.6117,6.13,601.9650331294
TXL,BERLIN,VIE,VIENNA,52.5218,13.4015,48.2,16.3666,524.4636696826291
TXL,BERLIN,ZAG,ZAGREB,52.5218,13.4015,45.8,16.0,770.8074960120665
VIE,VIENNA,TXL,BERLIN,48.2,16.3666,52.5218,13.4015,524.4636696826291
VNO,VILNIUS,BRU,BRUSSELS,54.6834,25.3166,50.8333,4.3333,1469.1178761542635
ZAG,ZAGREB,TXL,BERLIN,45.8,16.0,52.5218,13.4015,770.8074960120665
AMS,AMSTERDAM,WAW,WARSAW,52.35,4.9166,52.25,21.0,1091.4530369070173
ARN,STOCKHOLM,WAW,WARSAW,59.3508,18.0973,52.25,21.0,809.9490424868795
ATH,ATHENS,WAW,WARSAW,37.9833,23.7333,52.25,21.0,1600.5154931312306
BRU,BRUSSELS,WAW,WARSAW,50.8333,4.3333,52.25,21.0,1160.6944377051677
BUD,BUDAPEST,WAW,WARSAW,47.5,19.0833,52.25,21.0,545.6901266343519
CDG,PARIS,WAW,WARSAW,48.8667,2.3333,52.25,21.0,1366.8971053245582
CPH,COPENHAGEN,WAW,WARSAW,55.6786,12.5635,52.25,21.0,670.0319869658913
KBP,KIEV,WAW,WARSAW,50.4334,30.5166,52.25,21.0,690.6092471609303
LHR,LONDON,WAW,WARSAW,51.5072,-0.1275,52.25,21.0,1447.4673224092546
LJU,LJUBLJANA,WAW,WARSAW,46.0553,14.515,52.25,21.0,834.0778284136803
MAD,MADRID,WAW,WARSAW,40.4,-3.6834,52.25,21.0,2290.0812433677916
MSQ,MINSK,WAW,WARSAW,53.9,27.5666,52.25,21.0,475.258233978094
OTP,BUCHAREST,WAW,WARSAW,44.4334,26.0999,52.25,21.0,946.7940441186996
PRG,PRAGUE,WAW,WARSAW,50.0833,14.466,52.25,21.0,515.101106307462
RIX,RIGA,WAW,WARSAW,56.95,24.1,52.25,21.0,559.3195239322619
SOF,SOFIA,WAW,WARSAW,42.6833,23.3167,52.25,21.0,1077.7782000332932
SVO,MOSCOW,WAW,WARSAW,55.7522,37.6155,52.25,21.0,1150.2408525292806
TLL,TALLINN,WAW,WARSAW,59.4339,24.728,52.25,21.0,831.7024731668449
VIE,VIENNA,WAW,WARSAW,48.2,16.3666,52.25,21.0,557.833200910026
VNO,VILNIUS,WAW,WARSAW,54.6834,25.3166,52.25,21.0,393.38482342365216
WAW,WARSAW,AMS,AMSTERDAM,52.25,21.0,52.35,4.9166,1091.4530369070173
WAW,WARSAW,ARN,STOCKHOLM,52.25,21.0,59.3508,18.0973,809.9490424868795
WAW,WARSAW,ATH,ATHENS,52.25,21.0,37.9833,23.7333,1600.5154931312306
WAW,WARSAW,BRU,BRUSSELS,52.25,21.0,50.8333,4.3333,1160.6944377051677
WAW,WARSAW,BUD,BUDAPEST,52.25,21.0,47.5,19.0833,545.6901266343519
WAW,WARSAW,CDG,PARIS,52.25,21.0,48.8667,2.3333,1366.8971053245582
WAW,WARSAW,CPH,COPENHAGEN,52.25,21.0,55.6786,12.5635,670.0319869658913
WAW,WARSAW,KBP,KIEV,52.25,21.0,50.4334,30.5166,690.6092471609303
WAW,WARSAW,LHR,LONDON,52.25,21.0,51.5072,-0.1275,1447.4673224092546
WAW,WARSAW,LJU,LJUBLJANA,52.25,21.0,46.0553,14.515,834.0778284136803
WAW,WARSAW,MAD,MADRID,52.25,21.0,40.4,-3.6834,2290.0812433677916
WAW,WARSAW,MSQ,MINSK,52.25,21.0,53.9,27.5666,475.258233978094
WAW,WARSAW,OTP,BUCHAREST,52.25,21.0,44.4334,26.0999,946.7940441186996
WAW,WARSAW,PRG,PRAGUE,52.25,21.0,50.0833,14.466,515.101106307462
WAW,WARSAW,RIX,RIGA,52.25,21.0,56.95,24.1,559.3195239322619
WAW,WARSAW,SOF,SOFIA,52.25,21.0,42.6833,23.3167,1077.7782000332932
WAW,WARSAW,SVO,MOSCOW,52.25,21.0,55.7522,37.6155,1150.2408525292806
WAW,WARSAW,TLL,TALLINN,52.25,21.0,59.4339,24.728,831.7024731668449
WAW,WARSAW,VIE,VIENNA,52.25,21.0,48.2,16.3666,557.833200910026
WAW,WARSAW,VNO,VILNIUS,52.25,21.0,54.6834,25.3166,393.38482342365216
BRU,BRUSSELS,VNO,VILNIUS,50.8333,4.3333,54.6834,25.3166,1469.1178761542635
CDG,PARIS,VNO,VILNIUS,48.8667,2.3333,54.6834,25.3166,1698.7008059849586
PRG,PRAGUE,VNO,VILNIUS,50.0833,14.466,54.6834,25.3166,895.0977292288796
TLL,TALLINN,VNO,VILNIUS,59.4339,24.728,54.6834,25.3166,529.4235045608855
TXL,BERLIN,VNO,VILNIUS,52.5218,13.4015,54.6834,25.3166,820.9242398784174
VNO,VILNIUS,BRU,BRUSSELS,54.6834,25.3166,50.8333,4.3333,1469.1178761542635
VNO,VILNIUS,CDG,PARIS,54.6834,25.3166,48.8667,2.3333,1698.7008059849586
VNO,VILNIUS,PRG,PRAGUE,54.6834,25.3166,50.0833,14.466,895.0977292288796
VNO,VILNIUS,TLL,TALLINN,54.6834,25.3166,59.4339,24.728,529.4235045608855
VNO,VILNIUS,TXL,BERLIN,54.6834,25.3166,52.5218,13.4015,820.9242398784174
AMS,AMSTERDAM,HEL,HELSINKI,52.35,4.9166,60.1756,24.9341,1502.1047867031264
CDG,PARIS,HEL,HELSINKI,48.8667,2.3333,60.1756,24.9341,1908.6358673779876
HEL,HELSINKI,CDG,PARIS,60.1756,24.9341,48.8667,2.3333,1908.6358673779876
HEL,HELSINKI,LHR,LONDON,60.1756,24.9341,51.5072,-0.1275,1820.898119067683
LHR,LONDON,HEL,HELSINKI,51.5072,-0.1275,60.1756,24.9341,1820.898119067683
AMS,AMSTERDAM,CDG,PARIS,52.35,4.9166,48.8667,2.3333,428.0102768761137
AMS,AMSTERDAM,CPH,COPENHAGEN,52.35,4.9166,55.6786,12.5635,621.2079945037791
AMS,AMSTERDAM,FCO,ROME,52.35,4.9166,41.896,12.4833,1294.087468572096
AMS,AMSTERDAM,LHR,LONDON,52.35,4.9166,51.5072,-0.1275,358.2488474650462
AMS,AMSTERDAM,MAD,MADRID,52.35,4.9166,40.4,-3.6834,1481.1191608253666
CDG,PARIS,AMS,AMSTERDAM,48.8667,2.3333,52.35,4.9166,428.0102768761137
CPH,COPENHAGEN,AMS,AMSTERDAM,55.6786,12.5635,52.35,4.9166,621.2079945037791
FCO,ROME,AMS,AMSTERDAM,41.896,12.4833,52.35,4.9166,1294.087468572096
LHR,LONDON,AMS,AMSTERDAM,51.5072,-0.1275,52.35,4.9166,358.2488474650462
MAD,MADRID,AMS,AMSTERDAM,40.4,-3.6834,52.35,4.9166,1481.1191608253666
LHR,LONDON,WAW,WARSAW,51.5072,-0.1275,52.25,21.0,1447.4673224092546
WAW,WARSAW,LHR,LONDON,52.25,21.0,51.5072,-0.1275,1447.4673224092546
ATH,ATHENS,CDG,PARIS,37.9833,23.7333,48.8667,2.3333,2098.0055791397026
ATH,ATHENS,FCO,ROME,37.9833,23.7333,41.896,12.4833,1052.0824133074595
ATH,ATHENS,LHR,LONDON,37.9833,23.7333,51.5072,-0.1275,2391.9896924404575
ATH,ATHENS,MAD,MADRID,37.9833,23.7333,40.4,-3.6834,2368.4262925237163
ATH,ATHENS,OTP,BUCHAREST,37.9833,23.7333,44.4334,26.0999,743.9472057487426
ATH,ATHENS,SOF,SOFIA,37.9833,23.7333,42.6833,23.3167,523.8056778646982
ATH,ATHENS,TIA,TIRANA,37.9833,23.7333,41.3275,19.8189,500.4590186340012
CDG,PARIS,ATH,ATHENS,48.8667,2.3333,37.9833,23.7333,2098.0055791397026
FCO,ROME,ATH,ATHENS,41.896,12.4833,37.9833,23.7333,1052.0824133074595
LHR,LONDON,ATH,ATHENS,51.5072,-0.1275,37.9833,23.7333,2391.9896924404575
MAD,MADRID,ATH,ATHENS,40.4,-3.6834,37.9833,23.7333,2368.4262925237163
OTP,BUCHAREST,ATH,ATHENS,44.4334,26.0999,37.9833,23.7333,743.9472057487426
SOF,SOFIA,ATH,ATHENS,42.6833,23.3167,37.9833,23.7333,523.8056778646982
TIA,TIRANA,ATH,ATHENS,41.3275,19.8189,37.9833,23.7333,500.4590186340012
AMS,AMSTERDAM,PRG,PRAGUE,52.35,4.9166,50.0833,14.466,710.6035468833028
ARN,STOCKHOLM,PRG,PRAGUE,59.3508,18.0973,50.0833,14.466,1056.163716770409
BRU,BRUSSELS,PRG,PRAGUE,50.8333,4.3333,50.0833,14.466,721.5564235620609
BTS,BRATISLAVA,PRG,PRAGUE,48.15,17.117,50.0833,14.466,288.8202987072081
BUD,BUDAPEST,PRG,PRAGUE,47.5,19.0833,50.0833,14.466,443.60917668441994
CDG,PARIS,PRG,PRAGUE,48.8667,2.3333,50.0833,14.466,885.971442638563
CPH,COPENHAGEN,PRG,PRAGUE,55.6786,12.5635,50.0833,14.466,635.0672902906039
FCO,ROME,PRG,PRAGUE,41.896,12.4833,50.0833,14.466,923.0908171053476
HEL,HELSINKI,PRG,PRAGUE,60.1756,24.9341,50.0833,14.466,1301.2205032375336
KBP,KIEV,PRG,PRAGUE,50.4334,30.5166,50.0833,14.466,1139.47967179247
MAD,MADRID,PRG,PRAGUE,40.4,-3.6834,50.0833,14.466,1774.980138030542
MSQ,MINSK,PRG,PRAGUE,53.9,27.5666,50.0833,14.466,990.3593400254002
OTP,BUCHAREST,PRG,PRAGUE,44.4334,26.0999,50.0833,14.466,1077.6286697259682
PRG,PRAGUE,AMS,AMSTERDAM,50.0833,14.466,52.35,4.9166,710.6035468833028
PRG,PRAGUE,ARN,STOCKHOLM,50.0833,14.466,59.3508,18.0973,1056.163716770409
PRG,PRAGUE,BRU,BRUSSELS,50.0833,14.466,50.8333,4.3333,721.5564235620609
PRG,PRAGUE,BTS,BRATISLAVA,50.0833,14.466,48.15,17.117,288.8202987072081
PRG,PRAGUE,BUD,BUDAPEST,50.0833,14.466,47.5,19.0833,443.60917668441994
PRG,PRAGUE,CDG,PARIS,50.0833,14.466,48.8667,2.3333,885.971442638563
PRG,PRAGUE,CPH,COPENHAGEN,50.0833,14.466,55.6786,12.5635,635.0672902906039
PRG,PRAGUE,FCO,ROME,50.0833,14.466,41.896,12.4833,923.0908171053476
PRG,PRAGUE,HEL,HELSINKI,50.0833,14.466,60.1756,24.9341,1301.2205032375336
PRG,PRAGUE,KBP,KIEV,50.0833,14.466,50.4334,30.5166,1139.47967179247
PRG,PRAGUE,MAD,MADRID,50.0833,14.466,40.4,-3.6834,1774.980138030542
PRG,PRAGUE,MSQ,MINSK,50.0833,14.466,53.9,27.5666,990.3593400254002
PRG,PRAGUE,OTP,BUCHAREST,50.0833,14.466,44.4334,26.0999,1077.6286697259682
PRG,PRAGUE,RIX,RIGA,50.0833,14.466,56.95,24.1,992.4412379344913
PRG,PRAGUE,SOF,SOFIA,50.0833,14.466,42.6833,23.3167,1065.2382348956908
PRG,PRAGUE,SVO,MOSCOW,50.0833,14.466,55.7522,37.6155,1665.2829873444934
PRG,PRAGUE,TXL,BERLIN,50.0833,14.466,52.5218,13.4015,281.0578043880527
PRG,PRAGUE,WAW,WARSAW,50.0833,14.466,52.25,21.0,515.101106307462
RIX,RIGA,PRG,PRAGUE,56.95,24.1,50.0833,14.466,992.4412379344913
SOF,SOFIA,PRG,PRAGUE,42.6833,23.3167,50.0833,14.466,1065.2382348956908
SVO,MOSCOW,PRG,PRAGUE,55.7522,37.6155,50.0833,14.466,1665.2829873444934
TXL,BERLIN,PRG,PRAGUE,52.5218,13.4015,50.0833,14.466,281.0578043880527
WAW,WARSAW,PRG,PRAGUE,52.25,21.0,50.0833,14.466,515.101106307462
SVO,MOSCOW,TXL,BERLIN,55.7522,37.6155,52.5218,13.4015,1608.8414689723143
TXL,BERLIN,SVO,MOSCOW,52.5218,13.4015,55.7522,37.6155,1608.8414689723143
AMS,AMSTERDAM,VIE,VIENNA,52.35,4.9166,48.2,16.3666,933.9126809835108
ARN,STOCKHOLM,VIE,VIENNA,59.3508,18.0973,48.2,16.3666,1245.008379922034
ATH,ATHENS,VIE,VIENNA,37.9833,23.7333,48.2,16.3666,1282.4785324396194
BRU,BRUSSELS,VIE,VIENNA,50.8333,4.3333,48.2,16.3666,915.4667683256487
BUD,BUDAPEST,VIE,VIENNA,47.5,19.0833,48.2,16.3666,217.13444678251733
CDG,PARIS,VIE,VIENNA,48.8667,2.3333,48.2,16.3666,1034.470986247922
CPH,COPENHAGEN,VIE,VIENNA,55.6786,12.5635,48.2,16.3666,871.1559370951121
DME,MOSCOW,VIE,VIENNA,55.7522,37.6155,48.2,16.3666,1670.432385143564
FCO,ROME,VIE,VIENNA,41.896,12.4833,48.2,16.3666,764.2244913080981
KBP,KIEV,VIE,VIENNA,50.4334,30.5166,48.2,16.3666,1053.5269895762713
LHR,LONDON,VIE,VIENNA,51.5072,-0.1275,48.2,16.3666,1235.2570570066837
LJU,LJUBLJANA,VIE,VIENNA,46.0553,14.515,48.2,16.3666,276.55698465731086
LUX,LUXEMBOURG,VIE,VIENNA,49.6117,6.13,48.2,16.3666,763.8196283364555
MSQ,MINSK,VIE,VIENNA,53.9,27.5666,48.2,16.3666,1005.306784064227
OSL,OSLO,VIE,VIENNA,59.9167,10.75,48.2,16.3666,1352.2372474281347
OTP,BUCHAREST,VIE,VIENNA,44.4334,26.0999,48.2,16.3666,855.9321929057369
PRG,PRAGUE,VIE,VIENNA,50.0833,14.466,48.2,16.3666,250.91583043012534
RIX,RIGA,VIE,VIENNA,56.95,24.1,48.2,16.3666,1102.8268364466728
SJJ,SARAJEVO,VIE,VIENNA,43.85,18.383,48.2,16.3666,508.0845414890367
SKP,SKOPJE,VIE,VIENNA,42.0,21.4335,48.2,16.3666,795.4714234475592
SOF,SOFIA,VIE,VIENNA,42.6833,23.3167,48.2,16.3666,818.0466677212581
TFS,SOFIA,VIE,VIENNA,42.6833,23.3167,48.2,16.3666,818.0466677212581
TGD,PODGORICA,VIE,VIENNA,42.466,19.2663,48.2,16.3666,676.5500315997299
TIA,TIRANA,VIE,VIENNA,41.3275,19.8189,48.2,16.3666,811.1149541360505
TXL,BERLIN,VIE,VIENNA,52.5218,13.4015,48.2,16.3666,524.4636696826291
VIE,VIENNA,AMS,AMSTERDAM,48.2,16.3666,52.35,4.9166,933.9126809835108
VIE,VIENNA,ARN,STOCKHOLM,48.2,16.3666,59.3508,18.0973,1245.008379922034
VIE,VIENNA,ATH,ATHENS,48.2,16.3666,37.9833,23.7333,1282.4785324396194
VIE,VIENNA,BRU,BRUSSELS,48.2,16.3666,50.8333,4.3333,915.4667683256487
VIE,VIENNA,BUD,BUDAPEST,48.2,16.3666,47.5,19.0833,217.13444678251733
VIE,VIENNA,CDG,PARIS,48.2,16.3666,48.8667,2.3333,1034.470986247922
VIE,VIENNA,CPH,COPENHAGEN,48.2,16.3666,55.6786,12.5635,871.1559370951121
VIE,VIENNA,DME,MOSCOW,48.2,16.3666,55.7522,37.6155,1670.432385143564
VIE,VIENNA,FCO,ROME,48.2,16.3666,41.896,12.4833,764.2244913080981
VIE,VIENNA,KBP,KIEV,48.2,16.3666,50.4334,30.5166,1053.5269895762713
VIE,VIENNA,LHR,LONDON,48.2,16.3666,51.5072,-0.1275,1235.2570570066837
VIE,VIENNA,LJU,LJUBLJANA,48.2,16.3666,46.0553,14.515,276.55698465731086
VIE,VIENNA,LUX,LUXEMBOURG,48.2,16.3666,49.6117,6.13,763.8196283364555
VIE,VIENNA,MSQ,MINSK,48.2,16.3666,53.9,27.5666,1005.306784064227
VIE,VIENNA,OSL,OSLO,48.2,16.3666,59.9167,10.75,1352.2372474281347
VIE,VIENNA,OTP,BUCHAREST,48.2,16.3666,44.4334,26.0999,855.9321929057369
VIE,VIENNA,PRG,PRAGUE,48.2,16.3666,50.0833,14.466,250.91583043012534
VIE,VIENNA,RIX,RIGA,48.2,16.3666,56.95,24.1,1102.8268364466728
VIE,VIENNA,SJJ,SARAJEVO,48.2,16.3666,43.85,18.383,508.0845414890367
VIE,VIENNA,SKP,SKOPJE,48.2,16.3666,42.0,21.4335,795.4714234475592
VIE,VIENNA,SOF,SOFIA,48.2,16.3666,42.6833,23.3167,818.0466677212581
VIE,VIENNA,TFS,SOFIA,48.2,16.3666,42.6833,23.3167,818.0466677212581
VIE,VIENNA,TGD,PODGORICA,48.2,16.3666,42.466,19.2663,676.5500315997299
VIE,VIENNA,TIA,TIRANA,48.2,16.3666,41.3275,19.8189,811.1149541360505
VIE,VIENNA,TXL,BERLIN,48.2,16.3666,52.5218,13.4015,524.4636696826291
VIE,VIENNA,VNO,VILNIUS,48.2,16.3666,54.6834,25.3166,949.5734848350259
VIE,VIENNA,WAW,WARSAW,48.2,16.3666,52.25,21.0,557.833200910026
VIE,VIENNA,ZAG,ZAGREB,48.2,16.3666,45.8,16.0,268.31106561845485
VNO,VILNIUS,VIE,VIENNA,54.6834,25.3166,48.2,16.3666,949.5734848350259
WAW,WARSAW,VIE,VIENNA,52.25,21.0,48.2,16.3666,557.833200910026
ZAG,ZAGREB,VIE,VIENNA,45.8,16.0,48.2,16.3666,268.31106561845485
AMS,AMSTERDAM,ZAG,ZAGREB,52.35,4.9166,45.8,16.0,1085.1366458469224
BRU,BRUSSELS,ZAG,ZAGREB,50.8333,4.3333,45.8,16.0,1026.5365109185711
CDG,PARIS,ZAG,ZAGREB,48.8667,2.3333,45.8,16.0,1083.1257590728685
CPH,COPENHAGEN,ZAG,ZAGREB,55.6786,12.5635,45.8,16.0,1124.3953314502771
LHR,LONDON,ZAG,ZAGREB,51.5072,-0.1275,45.8,16.0,1339.8834501717652
SJJ,SARAJEVO,ZAG,ZAGREB,43.85,18.383,45.8,16.0,286.915045749476
SKP,SKOPJE,ZAG,ZAGREB,42.0,21.4335,45.8,16.0,606.4086773999721
TXL,BERLIN,ZAG,ZAGREB,52.5218,13.4015,45.8,16.0,770.8074960120665
VIE,VIENNA,ZAG,ZAGREB,48.2,16.3666,45.8,16.0,268.31106561845485
ZAG,ZAGREB,AMS,AMSTERDAM,45.8,16.0,52.35,4.9166,1085.1366458469224
ZAG,ZAGREB,BRU,BRUSSELS,45.8,16.0,50.8333,4.3333,1026.5365109185711
ZAG,ZAGREB,CDG,PARIS,45.8,16.0,48.8667,2.3333,1083.1257590728685
ZAG,ZAGREB,CPH,COPENHAGEN,45.8,16.0,55.6786,12.5635,1124.3953314502771
ZAG,ZAGREB,LHR,LONDON,45.8,16.0,51.5072,-0.1275,1339.8834501717652
ZAG,ZAGREB,SJJ,SARAJEVO,45.8,16.0,43.85,18.383,286.915045749476
ZAG,ZAGREB,SKP,SKOPJE,45.8,16.0,42.0,21.4335,606.4086773999721
ZAG,ZAGREB,TXL,BERLIN,45.8,16.0,52.5218,13.4015,770.8074960120665
ZAG,ZAGREB,VIE,VIENNA,45.8,16.0,48.2,16.3666,268.31106561845485
AMS,AMSTERDAM,TLL,TALLINN,52.35,4.9166,59.4339,24.728,1456.4982723930193
ARN,STOCKHOLM,TLL,TALLINN,59.3508,18.0973,59.4339,24.728,375.35929113506296
BRU,BRUSSELS,TLL,TALLINN,50.8333,4.3333,59.4339,24.728,1600.2239494277546
CPH,COPENHAGEN,TLL,TALLINN,55.6786,12.5635,59.4339,24.728,835.4248623134152
KBP,KIEV,TLL,TALLINN,50.4334,30.5166,59.4339,24.728,1065.9729534269572
OSL,OSLO,TLL,TALLINN,59.9167,10.75,59.4339,24.728,785.1205106132865
SVO,MOSCOW,TLL,TALLINN,55.7522,37.6155,59.4339,24.728,868.2952809339782
TLL,TALLINN,AMS,AMSTERDAM,59.4339,24.728,52.35,4.9166,1456.4982723930193
TLL,TALLINN,ARN,STOCKHOLM,59.4339,24.728,59.3508,18.0973,375.35929113506296
TLL,TALLINN,BRU,BRUSSELS,59.4339,24.728,50.8333,4.3333,1600.2239494277546
TLL,TALLINN,CPH,COPENHAGEN,59.4339,24.728,55.6786,12.5635,835.4248623134152
TLL,TALLINN,KBP,KIEV,59.4339,24.728,50.4334,30.5166,1065.9729534269572
TLL,TALLINN,OSL,OSLO,59.4339,24.728,59.9167,10.75,785.1205106132865
TLL,TALLINN,SVO,MOSCOW,59.4339,24.728,55.7522,37.6155,868.2952809339782
TLL,TALLINN,VNO,VILNIUS,59.4339,24.728,54.6834,25.3166,529.4235045608855
VNO,VILNIUS,TLL,TALLINN,54.6834,25.3166,59.4339,24.728,529.4235045608855
CPH,COPENHAGEN,OSL,OSLO,55.6786,12.5635,59.9167,10.75,483.30516869773044
OSL,OSLO,CPH,COPENHAGEN,59.9167,10.75,55.6786,12.5635,483.30516869773044
AMS,AMSTERDAM,KBP,KIEV,52.35,4.9166,50.4334,30.5166,1779.5081418900597
ATH,ATHENS,KBP,KIEV,37.9833,23.7333,50.4334,30.5166,1484.673534094756
BRU,BRUSSELS,KBP,KIEV,50.8333,4.3333,50.4334,30.5166,1837.5241807444324
CDG,PARIS,KBP,KIEV,48.8667,2.3333,50.4334,30.5166,2024.2220467112784
DME,MOSCOW,KBP,KIEV,55.7522,37.6155,50.4334,30.5166,757.1530407863087
FCO,ROME,KBP,KIEV,41.896,12.4833,50.4334,30.5166,1675.2392695646759
HEL,HELSINKI,KBP,KIEV,60.1756,24.9341,50.4334,30.5166,1138.4620307236694
KBP,KIEV,AMS,AMSTERDAM,50.4334,30.5166,52.35,4.9166,1779.5081418900597
KBP,KIEV,ATH,ATHENS,50.4334,30.5166,37.9833,23.7333,1484.673534094756
KBP,KIEV,BRU,BRUSSELS,50.4334,30.5166,50.8333,4.3333,1837.5241807444324
KBP,KIEV,CDG,PARIS,50.4334,30.5166,48.8667,2.3333,2024.2220467112784
KBP,KIEV,DME,MOSCOW,50.4334,30.5166,55.7522,37.6155,757.1530407863087
KBP,KIEV,FCO,ROME,50.4334,30.5166,41.896,12.4833,1675.2392695646759
KBP,KIEV,HEL,HELSINKI,50.4334,30.5166,60.1756,24.9341,1138.4620307236694
KBP,KIEV,LGW,LONDON,50.4334,30.5166,51.5072,-0.1275,2133.355719801635
KBP,KIEV,MAD,MADRID,50.4334,30.5166,40.4,-3.6834,2861.388001506692
KBP,KIEV,MSQ,MINSK,50.4334,30.5166,53.9,27.5666,434.72714620563545
KBP,KIEV,PRG,PRAGUE,50.4334,30.5166,50.0833,14.466,1139.47967179247
KBP,KIEV,RIX,RIGA,50.4334,30.5166,56.95,24.1,837.9560754496297
KBP,KIEV,TFS,SOFIA,50.4334,30.5166,42.6833,23.3167,1021.508910938084
KBP,KIEV,TXL,BERLIN,50.4334,30.5166,52.5218,13.4015,1204.8074138431389
KBP,KIEV,VIE,VIENNA,50.4334,30.5166,48.2,16.3666,1053.5269895762713
KBP,KIEV,VNO,VILNIUS,50.4334,30.5166,54.6834,25.3166,588.6434233623895
KBP,KIEV,WAW,WARSAW,50.4334,30.5166,52.25,21.0,690.6092471609303
LGW,LONDON,KBP,KIEV,51.5072,-0.1275,50.4334,30.5166,2133.355719801635
MAD,MADRID,KBP,KIEV,40.4,-3.6834,50.4334,30.5166,2861.388001506692
MSQ,MINSK,KBP,KIEV,53.9,27.5666,50.4334,30.5166,434.72714620563545
PRG,PRAGUE,KBP,KIEV,50.0833,14.466,50.4334,30.5166,1139.47967179247
RIX,RIGA,KBP,KIEV,56.95,24.1,50.4334,30.5166,837.9560754496297
TFS,SOFIA,KBP,KIEV,42.6833,23.3167,50.4334,30.5166,1021.508910938084
TXL,BERLIN,KBP,KIEV,52.5218,13.4015,50.4334,30.5166,1204.8074138431389
VIE,VIENNA,KBP,KIEV,48.2,16.3666,50.4334,30.5166,1053.5269895762713
VNO,VILNIUS,KBP,KIEV,54.6834,25.3166,50.4334,30.5166,588.6434233623895
WAW,WARSAW,KBP,KIEV,52.25,21.0,50.4334,30.5166,690.6092471609303
BUD,BUDAPEST,ZAG,ZAGREB,47.5,19.0833,45.8,16.0,301.82284382048203
OTP,BUCHAREST,SOF,SOFIA,44.4334,26.0999,42.6833,23.3167,296.89714013046955
SOF,SOFIA,OTP,BUCHAREST,42.6833,23.3167,44.4334,26.0999,296.89714013046955
ZAG,ZAGREB,BUD,BUDAPEST,45.8,16.0,47.5,19.0833,301.82284382048203
AMS,AMSTERDAM,PRG,PRAGUE,52.35,4.9166,50.0833,14.466,710.6035468833028
ARN,STOCKHOLM,PRG,PRAGUE,59.3508,18.0973,50.0833,14.466,1056.163716770409
BRU,BRUSSELS,PRG,PRAGUE,50.8333,4.3333,50.0833,14.466,721.5564235620609
BTS,BRATISLAVA,PRG,PRAGUE,48.15,17.117,50.0833,14.466,288.8202987072081
BUD,BUDAPEST,PRG,PRAGUE,47.5,19.0833,50.0833,14.466,443.60917668441994
CDG,PARIS,PRG,PRAGUE,48.8667,2.3333,50.0833,14.466,885.971442638563
CPH,COPENHAGEN,PRG,PRAGUE,55.6786,12.5635,50.0833,14.466,635.0672902906039
FCO,ROME,PRG,PRAGUE,41.896,12.4833,50.0833,14.466,923.0908171053476
KBP,KIEV,PRG,PRAGUE,50.4334,30.5166,50.0833,14.466,1139.47967179247
MAD,MADRID,PRG,PRAGUE,40.4,-3.6834,50.0833,14.466,1774.980138030542
OTP,BUCHAREST,PRG,PRAGUE,44.4334,26.0999,50.0833,14.466,1077.6286697259682
PRG,PRAGUE,AMS,AMSTERDAM,50.0833,14.466,52.35,4.9166,710.6035468833028
PRG,PRAGUE,ARN,STOCKHOLM,50.0833,14.466,59.3508,18.0973,1056.163716770409
PRG,PRAGUE,BRU,BRUSSELS,50.0833,14.466,50.8333,4.3333,721.5564235620609
PRG,PRAGUE,BTS,BRATISLAVA,50.0833,14.466,48.15,17.117,288.8202987072081
PRG,PRAGUE,BUD,BUDAPEST,50.0833,14.466,47.5,19.0833,443.60917668441994
PRG,PRAGUE,CDG,PARIS,50.0833,14.466,48.8667,2.3333,885.971442638563
PRG,PRAGUE,CPH,COPENHAGEN,50.0833,14.466,55.6786,12.5635,635.0672902906039
PRG,PRAGUE,FCO,ROME,50.0833,14.466,41.896,12.4833,923.0908171053476
PRG,PRAGUE,KBP,KIEV,50.0833,14.466,50.4334,30.5166,1139.47967179247
PRG,PRAGUE,MAD,MADRID,50.0833,14.466,40.4,-3.6834,1774.980138030542
PRG,PRAGUE,OTP,BUCHAREST,50.0833,14.466,44.4334,26.0999,1077.6286697259682
PRG,PRAGUE,TFS,SOFIA,50.0833,14.466,42.6833,23.3167,1065.2382348956908
PRG,PRAGUE,TXL,BERLIN,50.0833,14.466,52.5218,13.4015,281.0578043880527
PRG,PRAGUE,WAW,WARSAW,50.0833,14.466,52.25,21.0,515.101106307462
TFS,SOFIA,PRG,PRAGUE,42.6833,23.3167,50.0833,14.466,1065.2382348956908
TXL,BERLIN,PRG,PRAGUE,52.5218,13.4015,50.0833,14.466,281.0578043880527
WAW,WARSAW,PRG,PRAGUE,52.25,21.0,50.0833,14.466,515.101106307462
CPH,COPENHAGEN,VIE,VIENNA,55.6786,12.5635,48.2,16.3666,871.1559370951121
